,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT,realSubtlety,numberObjects,trajectoryFilename
0,False,5,3,11.0,30,0.0358074606641992,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/49.pkl
0,False,0,1,50.0,5,0.8996916897864151,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,2,1,11.0,30,0.15214782577831829,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,3,5,3.3,60,0.06923832449063994,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,3,4,50.0,5,0.05818646551155724,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/160.pkl
0,False,0,1,50.0,5,0.1627546271261667,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,0,1,50.0,5,0.6024272122921238,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,3,5,3.3,60,0.09688864191407556,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,1,4,3.3,60,0.05640520291893542,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/160.pkl
4,False,0,1,11.0,30,0.16422566695787597,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/174.pkl
5,False,0,1,11.0,30,0.7426258382978294,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/148.pkl
6,False,3,0,11.0,30,0.057792180464705765,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/216.pkl
7,False,1,2,3.3,60,0.13551927233242744,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/202.pkl
8,False,0,1,50.0,5,0.9165750418761267,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/203.pkl
0,False,0,1,50.0,5,0.5642004897143453,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,0,1,1.83,90,0.18043153147832083,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,3,5,11.0,30,0.09066275428296637,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,1,3,11.0,30,0.08497654905850457,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/160.pkl
0,False,6,3,50.0,5,0.04286263607725678,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,0,1,11.0,30,0.24752810035825826,8000.000000000001,150,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,3,5,11.0,30,0.32721599776356547,8000.000000000001,150,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,3,4,11.0,30,0.04164174052331969,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/160.pkl
4,False,0,2,3.3,60,0.11455578424677422,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/174.pkl
5,False,0,1,50.0,5,0.950469063084403,8000.000000000001,30,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/148.pkl
6,False,0,5,1.83,90,0.05408403156574337,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/216.pkl
7,False,1,2,1.83,90,0.16586584286315123,8000.000000000001,180,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/202.pkl
8,False,0,1,50.0,5,0.6764739877129383,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/203.pkl
9,False,0,1,50.0,5,0.5533016389253717,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/217.pkl
10,False,0,2,11.0,30,0.15516973976289117,8000.000000000001,60,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/149.pkl
11,False,0,1,11.0,30,0.5365942394561145,8000.000000000001,5,4,/home/ning/modelingpercivedintention/data/trajectory/expt1/175.pkl
12,False,0,1,50.0,5,0.816473128099948,8000.000000000001,5,9,/home/ning/modelingpercivedintention/data/trajectory/expt1/161.pkl
13,False,4,5,0.92,120,0.06985645404355711,8000.000000000001,120,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/74.pkl
14,False,2,0,11.0,30,0.1364402462601528,8000.000000000001,120,3,/home/ning/modelingpercivedintention/data/trajectory/expt1/60.pkl
15,False,0,3,3.3,60,0.04382605484620287,8000.000000000001,180,6,/home/ning/modelingpercivedintention/data/trajectory/expt1/48.pkl
