,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
0,True,0,1,50.0,5,0.9923649891999039,6216.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,2,1,0.31,150,0.23522234491616476,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,3,5,50.0,5,0.1632469317515406,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,4,0,50.0,5,0.20947876915701127,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/160.pkl
4,False,2,1,3.3,60,0.12199941215956862,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/174.pkl
5,False,0,1,11.0,30,0.8875521580033261,8000.000000000001,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/148.pkl
6,False,0,5,0.92,120,0.10287536274906132,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/216.pkl
7,False,1,2,0.92,120,0.30413254042875704,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/202.pkl
8,True,0,1,50.0,5,0.9921986262694241,1816.6666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/203.pkl
9,False,0,1,50.0,5,0.9282555327611709,8000.000000000001,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/217.pkl
10,False,0,1,3.3,60,0.8612395793904873,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/149.pkl
11,True,0,1,50.0,5,0.9942980381133552,4016.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/175.pkl
12,True,0,1,50.0,5,0.9900635057905094,5816.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/161.pkl
13,False,4,5,11.0,30,0.08018987579327655,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/74.pkl
14,False,1,2,1.83,90,0.21819815833676684,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/60.pkl
15,False,2,3,1.83,90,0.05751117194526832,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/48.pkl
16,False,4,0,50.0,5,0.463167674843498,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/188.pkl
17,False,4,0,11.0,30,0.05866124078661621,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/76.pkl
18,False,0,1,3.3,60,0.22417354713815196,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/62.pkl
19,False,0,1,3.3,60,0.9491434195608605,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/177.pkl
20,False,1,0,0.92,120,0.1499070733578551,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/89.pkl
21,False,0,1,3.3,60,0.7145053336537156,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/163.pkl
22,False,0,2,0.31,150,0.3752929724063743,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/201.pkl
23,False,0,1,50.0,5,0.06945428998194196,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/215.pkl
24,False,4,3,3.3,60,0.08782314811328246,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/214.pkl
25,False,0,1,1.83,90,0.18776845856165902,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/200.pkl
26,False,0,1,11.0,30,0.9605224857142964,8000.000000000001,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/162.pkl
27,False,0,1,50.0,5,0.8552613879646592,8000.000000000001,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/176.pkl
28,False,0,1,1.83,90,0.15860492723584843,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/88.pkl
29,True,0,1,50.0,5,0.9908250945367539,4816.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/63.pkl
30,True,0,1,50.0,5,0.9919404620213006,6216.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/189.pkl
31,True,0,1,50.0,5,0.9912759346664176,4016.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/77.pkl
32,False,0,1,1.83,90,0.3018501845258138,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/73.pkl
33,False,0,1,0.92,120,0.699691495489527,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/199.pkl
34,False,2,0,1.83,90,0.43805087361360867,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/67.pkl
35,False,0,1,3.3,60,0.9297651449604862,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/9.pkl
36,False,0,1,1.83,90,0.6714080361726887,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/172.pkl
37,False,6,0,11.0,30,0.04846673372522741,8000.000000000001,150,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/166.pkl
38,True,0,1,50.0,5,0.9937916476521891,5416.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/98.pkl
39,True,0,1,11.0,30,0.9977529756666033,4216.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/204.pkl
40,True,0,1,50.0,5,0.9917660489055511,3616.666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/210.pkl
41,True,0,1,11.0,30,0.9903601462225383,7416.666666666667,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/211.pkl
42,False,0,1,3.3,60,0.9637357486517961,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/205.pkl
43,False,0,8,50.0,5,0.02831859768465302,8000.000000000001,180,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/167.pkl
44,False,0,1,11.0,30,0.7589990976649652,8000.000000000001,30,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/99.pkl
45,False,0,1,3.3,60,0.19411460299237884,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/173.pkl
46,True,0,1,11.0,30,0.9938186097025313,7216.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/8.pkl
47,False,0,1,3.3,60,0.8857281489794966,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/198.pkl
48,False,0,1,1.83,90,0.3649688673844887,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/66.pkl
49,False,0,1,1.83,90,0.6170237075381403,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/72.pkl
50,False,0,1,11.0,30,0.9730071578846113,8000.000000000001,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/64.pkl
51,True,0,1,50.0,5,0.9906169106755808,2016.6666666666667,5,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/70.pkl
52,False,0,1,3.3,60,0.7263625290420157,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/58.pkl
53,False,5,3,50.0,5,0.6432038283097152,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/159.pkl
54,False,0,5,50.0,5,0.062072525342273664,8000.000000000001,120,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/165.pkl
55,False,0,1,3.3,60,0.44430333390242,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/171.pkl
56,False,1,3,11.0,30,0.06194698443970504,8000.000000000001,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/213.pkl
57,False,2,1,1.83,90,0.09154183551333293,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/207.pkl
58,False,0,1,1.83,90,0.6809506623226487,8000.000000000001,90,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/206.pkl
59,False,0,1,3.3,60,0.8770266006646353,8000.000000000001,60,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/212.pkl
60,False,0,1,3.3,60,0.9799543432509381,8000.000000000001,60,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/170.pkl
61,False,7,2,0.31,150,0.04511757932751566,8000.000000000001,90,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/164.pkl
62,False,4,2,0.31,150,0.06852161323745175,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/158.pkl
63,False,0,1,1.83,90,0.319297403109807,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/59.pkl
