,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
0,True,0,1,50.0,5,0.9908584620764259,1816.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,2,1,0.31,150,0.6950970419685255,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,0,1,0.92,120,0.6999828337450844,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,5,4,0.92,120,0.7683776770346002,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/160.pkl
4,False,0,1,0.31,150,0.9082780539311501,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/174.pkl
5,True,0,1,11.0,30,0.9901969397260615,4016.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/148.pkl
6,False,0,5,0.31,150,0.6991367975452288,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/216.pkl
7,False,0,1,0.31,150,0.9319254166922916,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/202.pkl
8,True,0,1,50.0,5,0.9925460889111646,1616.6666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/203.pkl
9,True,0,1,50.0,5,0.9948564700744735,1816.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/217.pkl
10,True,0,1,3.3,60,0.9900873079247325,7016.666666666667,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/149.pkl
11,True,0,1,50.0,5,0.9927034920700168,1816.6666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/175.pkl
12,True,0,1,50.0,5,0.9928290802256757,2016.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/161.pkl
13,False,0,1,0.92,120,0.9692155862509146,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/74.pkl
14,False,0,1,0.92,120,0.8870923391786171,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/60.pkl
15,False,3,5,0.31,150,0.3033604885312686,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/48.pkl
16,False,5,4,0.92,120,0.7115925603372192,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/188.pkl
17,False,2,3,0.31,150,0.8752113398334248,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/76.pkl
18,False,2,1,0.31,150,0.871565804357236,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/62.pkl
19,False,0,1,3.3,60,0.8573509612942554,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/177.pkl
20,False,0,1,0.31,150,0.9460327654590668,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/89.pkl
21,False,0,1,3.3,60,0.9565797085984954,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/163.pkl
22,False,1,2,0.92,120,0.49699974481989573,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/201.pkl
23,False,0,1,0.92,120,0.8656262955177872,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/215.pkl
24,False,0,1,0.92,120,0.9583531708815867,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/214.pkl
25,False,0,1,0.92,120,0.543373684884834,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/200.pkl
26,True,0,1,11.0,30,0.9960274526894122,2616.666666666667,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/162.pkl
27,True,0,1,11.0,30,0.9936384519466869,3416.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/176.pkl
28,False,0,1,0.92,120,0.9536131310376647,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/88.pkl
29,True,0,1,50.0,5,0.9909121388034879,1816.6666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/63.pkl
30,True,0,1,50.0,5,0.9940436918348172,1416.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/189.pkl
31,True,0,1,50.0,5,0.9912781137340548,1416.6666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/77.pkl
32,True,0,1,1.83,90,0.991524950898664,7816.666666666667,90,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/73.pkl
33,False,0,1,1.83,90,0.8954639727602782,8000.000000000001,90,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/199.pkl
34,False,0,1,0.92,120,0.9772249512739154,8000.000000000001,120,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/67.pkl
35,True,0,1,3.3,60,0.991580878741602,7616.666666666667,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/9.pkl
