,action,wolfIdentity,sheepIdentity,precision,responseSubtlety,responsePosterior,RT(ms),realSubtlety,numberObjects,trajectoryFilename
0,True,0,1,50.0,5,0.9921682462640349,2416.666666666667,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/49.pkl
1,False,2,1,50.0,5,0.2682880349668188,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/61.pkl
2,False,2,0,50.0,5,0.026915474620662194,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/75.pkl
3,False,3,4,3.3,60,0.04914461797956244,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/160.pkl
4,False,2,1,50.0,5,0.10537090384557904,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/174.pkl
5,True,0,1,11.0,30,0.9965071131932727,6816.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/148.pkl
6,False,1,3,0.31,150,0.026767131148055727,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/216.pkl
7,False,1,2,0.92,120,0.07553232327046482,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/202.pkl
8,True,0,1,50.0,5,0.9913898789491336,3416.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/203.pkl
9,False,2,8,3.3,60,0.01129279526431091,8000.000000000001,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/217.pkl
10,False,0,2,1.83,90,0.10569480308426128,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/149.pkl
11,True,0,1,50.0,5,0.991508506656275,6216.666666666667,5,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/175.pkl
12,False,0,1,50.0,5,0.8949040306978631,8000.000000000001,5,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/161.pkl
13,False,3,5,50.0,5,0.10832373388976818,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/74.pkl
14,False,0,2,0.92,120,0.04856491011505986,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/60.pkl
15,False,2,1,0.92,120,0.01795328788275357,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/48.pkl
16,False,4,0,50.0,5,0.40706529179339734,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/188.pkl
17,False,3,2,1.83,90,0.03825372531217596,8000.000000000001,180,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/76.pkl
18,False,0,2,3.3,60,0.21050077404884487,8000.000000000001,180,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/62.pkl
19,False,0,1,3.3,60,0.9211777449037415,8000.000000000001,60,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/177.pkl
20,False,1,0,0.92,120,0.046775997669628616,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/89.pkl
21,False,2,1,0.92,120,0.018550155723614997,8000.000000000001,60,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/163.pkl
22,False,0,1,1.83,90,0.032844418762180846,8000.000000000001,150,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/201.pkl
23,False,0,5,11.0,30,0.029940747846973082,8000.000000000001,150,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/215.pkl
24,False,2,3,50.0,5,0.008606706219384242,8000.000000000001,120,6,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/214.pkl
25,False,0,1,0.31,150,0.0959712695642734,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/200.pkl
26,False,7,8,3.3,60,0.15152443452299807,8000.000000000001,30,9,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/162.pkl
27,True,0,1,11.0,30,0.9908048251096385,6016.666666666667,30,4,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/176.pkl
28,False,2,0,1.83,90,0.06882243591029787,8000.000000000001,120,3,/Users/xuhaokui/Documents/Research Document/modelingpercivedintention/data/trajectory/expt1/88.pkl
